Time,Obs,name
0,0,Ccpt_out
0.25,1.87,Ccpt_out
0.5,1.76,Ccpt_out
1,0.99,Ccpt_out
2,0.7,Ccpt_out
4,0.08,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.32,Ccpt_out
0.5,0.15,Ccpt_out
1,0.4,Ccpt_out
2,0.28,Ccpt_out
4,0.08,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.64,Ccpt_out
0.5,0.52,Ccpt_out
1,0.4,Ccpt_out
2,0.14,Ccpt_out
4,0.08,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.84,Ccpt_out
0.5,0.27,Ccpt_out
1,0.08,Ccpt_out
2,0,Ccpt_out
4,0,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.16,Ccpt_out
0.5,0.14,Ccpt_out
1,0.31,Ccpt_out
2,0.13,Ccpt_out
4,0,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,1.11,Ccpt_out
0.5,0.302,Ccpt_out
1,0.31,Ccpt_out
2,0.056,Ccpt_out
4,0.039,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,1.15,Ccpt_out
0.5,0.51,Ccpt_out
1,0.28,Ccpt_out
2,0.29,Ccpt_out
4,0.08,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.08,Ccpt_out
0.5,0.11,Ccpt_out
1,0.1,Ccpt_out
2,0.04,Ccpt_out
4,0,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.2,Ccpt_out
0.5,0.15,Ccpt_out
1,0.08,Ccpt_out
2,0.07,Ccpt_out
4,0.06,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,0,Ccpt_out
0.25,0.32,Ccpt_out
0.5,0.17,Ccpt_out
1,0.16,Ccpt_out
2,0.08,Ccpt_out
4,0.05,Ccpt_out
6,0,Ccpt_out
8,0,Ccpt_out
12,0,Ccpt_out
24,0,Ccpt_out
36,0,Ccpt_out
48,0,Ccpt_out
0,241.15,Qu_out
2.05,5069,Qu_out
4.3,10300.6,Qu_out
5.88,15184.73,Qu_out
9.3,16167.04,Qu_out
14.55,16545.05,Qu_out
0,0,Qu_out
1,14685.5,Qu_out
2.83,21688.52,Qu_out
8.17,25821.76,Qu_out
14.17,26096.34,Qu_out
23.75,26163.4,Qu_out
27.83,26199.25,Qu_out
33,26199.25,Qu_out
