Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt_out	0.25	1.87	0.87507
1_1	1	Ccpt_out	0.5	1.76	0.824467
1_1	1	Ccpt_out	1	0.99	0.731604
1_1	1	Ccpt_out	2	0.7	0.576078
1_1	1	Ccpt_out	4	0.08	0.357184

1_1	1	Ctot_out	0.25	2.6	0.965966
1_1	1	Ctot_out	0.5	3.126	0.910107
1_1	1	Ctot_out	1	1.148	0.807598
1_1	1	Ctot_out	2	1.294	0.635917
1_1	1	Ctot_out	4	0.08	0.394286

1_1	1	Qu_out	2.05	5069	6961.86
1_1	1	Qu_out	4.3	10300.6	11625
1_1	1	Qu_out	5.88	15184.7	13684.4
1_1	1	Qu_out	9.3	16167	16191
1_1	1	Qu_out	14.55	16545	17607.9

1_1	1	Qu_tot_out	2.05	8662.13	8298.85
1_1	1	Qu_tot_out	4.3	13893.7	13903.6
1_1	1	Qu_tot_out	5.88	18892.8	16378.9
1_1	1	Qu_tot_out	9.3	19889.7	19391.6
1_1	1	Qu_tot_out	14.55	20321.6	21094.7

1_1	1	Ccpt	0		0
1_1	1	Ccpt	0.1		0.878161
1_1	1	Ccpt	0.2		0.884847
1_1	1	Ccpt	0.3		0.864805
1_1	1	Ccpt	0.4		0.844408
1_1	1	Ccpt	0.5		0.824467
1_1	1	Ccpt	0.6		0.804996
1_1	1	Ccpt	0.7		0.785985
1_1	1	Ccpt	0.8		0.767423
1_1	1	Ccpt	0.9		0.749299
1_1	1	Ccpt	1		0.731604
1_1	1	Ccpt	1.1		0.714326
1_1	1	Ccpt	1.2		0.697456
1_1	1	Ccpt	1.3		0.680985
1_1	1	Ccpt	1.4		0.664903
1_1	1	Ccpt	1.5		0.6492
1_1	1	Ccpt	1.6		0.633869
1_1	1	Ccpt	1.7		0.618899
1_1	1	Ccpt	1.8		0.604283
1_1	1	Ccpt	1.9		0.590012
1_1	1	Ccpt	2		0.576078
1_1	1	Ccpt	2.1		0.562473
1_1	1	Ccpt	2.2		0.54919
1_1	1	Ccpt	2.3		0.53622
1_1	1	Ccpt	2.4		0.523557
1_1	1	Ccpt	2.5		0.511192
1_1	1	Ccpt	2.6		0.49912
1_1	1	Ccpt	2.7		0.487332
1_1	1	Ccpt	2.8		0.475823
1_1	1	Ccpt	2.9		0.464586
1_1	1	Ccpt	3		0.453614
1_1	1	Ccpt	3.1		0.442902
1_1	1	Ccpt	3.2		0.432442
1_1	1	Ccpt	3.3		0.422229
1_1	1	Ccpt	3.4		0.412258
1_1	1	Ccpt	3.5		0.402522
1_1	1	Ccpt	3.6		0.393016
1_1	1	Ccpt	3.7		0.383734
1_1	1	Ccpt	3.8		0.374672
1_1	1	Ccpt	3.9		0.365824
1_1	1	Ccpt	4		0.357184
1_1	1	Ccpt	4.1		0.348749
1_1	1	Ccpt	4.2		0.340513
1_1	1	Ccpt	4.3		0.332471
1_1	1	Ccpt	4.4		0.324619
1_1	1	Ccpt	4.5		0.316953
1_1	1	Ccpt	4.6		0.309468
1_1	1	Ccpt	4.7		0.302159
1_1	1	Ccpt	4.8		0.295023
1_1	1	Ccpt	4.9		0.288056
1_1	1	Ccpt	5		0.281253
1_1	1	Ccpt	5.1		0.274611
1_1	1	Ccpt	5.2		0.268126
1_1	1	Ccpt	5.3		0.261794
1_1	1	Ccpt	5.4		0.255611
1_1	1	Ccpt	5.5		0.249575
1_1	1	Ccpt	5.6		0.243681
1_1	1	Ccpt	5.7		0.237926
1_1	1	Ccpt	5.8		0.232307
1_1	1	Ccpt	5.9		0.226821
1_1	1	Ccpt	6		0.221464
1_1	1	Ccpt	6.1		0.216234
1_1	1	Ccpt	6.2		0.211127
1_1	1	Ccpt	6.3		0.206141
1_1	1	Ccpt	6.4		0.201273
1_1	1	Ccpt	6.5		0.19652
1_1	1	Ccpt	6.6		0.191878
1_1	1	Ccpt	6.7		0.187347
1_1	1	Ccpt	6.8		0.182923
1_1	1	Ccpt	6.9		0.178603
1_1	1	Ccpt	7		0.174385
1_1	1	Ccpt	7.1		0.170266
1_1	1	Ccpt	7.2		0.166245
1_1	1	Ccpt	7.3		0.162319
1_1	1	Ccpt	7.4		0.158486
1_1	1	Ccpt	7.5		0.154743
1_1	1	Ccpt	7.6		0.151089
1_1	1	Ccpt	7.7		0.14752
1_1	1	Ccpt	7.8		0.144037
1_1	1	Ccpt	7.9		0.140635
1_1	1	Ccpt	8		0.137314
1_1	1	Ccpt	8.1		0.134071
1_1	1	Ccpt	8.2		0.130905
1_1	1	Ccpt	8.3		0.127813
1_1	1	Ccpt	8.4		0.124795
1_1	1	Ccpt	8.5		0.121847
1_1	1	Ccpt	8.6		0.11897
1_1	1	Ccpt	8.7		0.11616
1_1	1	Ccpt	8.8		0.113417
1_1	1	Ccpt	8.9		0.110739
1_1	1	Ccpt	9		0.108123
1_1	1	Ccpt	9.1		0.10557
1_1	1	Ccpt	9.2		0.103077
1_1	1	Ccpt	9.3		0.100642
1_1	1	Ccpt	9.4		0.0982656
1_1	1	Ccpt	9.5		0.0959449
1_1	1	Ccpt	9.6		0.0936791
1_1	1	Ccpt	9.7		0.0914667
1_1	1	Ccpt	9.8		0.0893066
1_1	1	Ccpt	9.9		0.0871975
1_1	1	Ccpt	10		0.0851382
1_1	1	Ccpt	10.1		0.0831276
1_1	1	Ccpt	10.2		0.0811644
1_1	1	Ccpt	10.3		0.0792476
1_1	1	Ccpt	10.4		0.0773761
1_1	1	Ccpt	10.5		0.0755487
1_1	1	Ccpt	10.6		0.0737646
1_1	1	Ccpt	10.7		0.0720225
1_1	1	Ccpt	10.8		0.0703216
1_1	1	Ccpt	10.9		0.0686609
1_1	1	Ccpt	11		0.0670394
1_1	1	Ccpt	11.1		0.0654562
1_1	1	Ccpt	11.2		0.0639103
1_1	1	Ccpt	11.3		0.062401
1_1	1	Ccpt	11.4		0.0609273
1_1	1	Ccpt	11.5		0.0594884
1_1	1	Ccpt	11.6		0.0580836
1_1	1	Ccpt	11.7		0.0567118
1_1	1	Ccpt	11.8		0.0553725
1_1	1	Ccpt	11.9		0.0540648
1_1	1	Ccpt	12		0.052788
1_1	1	Ccpt	12.1		0.0515414
1_1	1	Ccpt	12.2		0.0503241
1_1	1	Ccpt	12.3		0.0491357
1_1	1	Ccpt	12.4		0.0479753
1_1	1	Ccpt	12.5		0.0468423
1_1	1	Ccpt	12.6		0.045736
1_1	1	Ccpt	12.7		0.0446559
1_1	1	Ccpt	12.8		0.0436013
1_1	1	Ccpt	12.9		0.0425716
1_1	1	Ccpt	13		0.0415662
1_1	1	Ccpt	13.1		0.0405846
1_1	1	Ccpt	13.2		0.0396261
1_1	1	Ccpt	13.3		0.0386903
1_1	1	Ccpt	13.4		0.0377766
1_1	1	Ccpt	13.5		0.0368845
1_1	1	Ccpt	13.6		0.0360134
1_1	1	Ccpt	13.7		0.0351629
1_1	1	Ccpt	13.8		0.0343325
1_1	1	Ccpt	13.9		0.0335217
1_1	1	Ccpt	14		0.03273
1_1	1	Ccpt	14.1		0.0319571
1_1	1	Ccpt	14.2		0.0312023
1_1	1	Ccpt	14.3		0.0304655
1_1	1	Ccpt	14.4		0.029746
