"iter" "M_lnCltot.1." "M_lnClmet.1." "M_lnkufrac.1." "M_lnVdist.1." "M_lnVdistmet.1." "M_lnkgutabs.1." "M_lnFgluc.1." "SD_lnCltot.1." "SD_lnClmet.1." "SD_lnkufrac.1." "SD_lnVdist.1." "SD_lnVdistmet.1." "SD_lnkgutabs.1." "SD_lnFgluc.1." "GSD_Ccpt.1." "GSD_Ctot.1." "GSD_Qu.1." "GSD_Qu_tot.1." "lnCltot.1.1." "lnClmet.1.1." "lnkufrac.1.1." "lnVdist.1.1." "lnVdistmet.1.1." "lnkgutabs.1.1." "lnFgluc.1.1." "lnCltot.1.2." "lnClmet.1.2." "lnkufrac.1.2." "lnVdist.1.2." "lnVdistmet.1.2." "lnkgutabs.1.2." "lnFgluc.1.2." "lnCltot.1.3." "lnClmet.1.3." "lnkufrac.1.3." "lnVdist.1.3." "lnVdistmet.1.3." "lnkgutabs.1.3." "lnFgluc.1.3." "lnCltot.1.4." "lnClmet.1.4." "lnkufrac.1.4." "lnVdist.1.4." "lnVdistmet.1.4." "lnkgutabs.1.4." "lnFgluc.1.4." "lnCltot.1.5." "lnClmet.1.5." "lnkufrac.1.5." "lnVdist.1.5." "lnVdistmet.1.5." "lnkgutabs.1.5." "lnFgluc.1.5." "lnCltot.1.6." "lnClmet.1.6." "lnkufrac.1.6." "lnVdist.1.6." "lnVdistmet.1.6." "lnkgutabs.1.6." "lnFgluc.1.6." "lnCltot.1.7." "lnClmet.1.7." "lnkufrac.1.7." "lnVdist.1.7." "lnVdistmet.1.7." "lnkgutabs.1.7." "lnFgluc.1.7." "lnCltot.1.8." "lnClmet.1.8." "lnkufrac.1.8." "lnVdist.1.8." "lnVdistmet.1.8." "lnkgutabs.1.8." "lnFgluc.1.8." "lnCltot.1.9." "lnClmet.1.9." "lnkufrac.1.9." "lnVdist.1.9." "lnVdistmet.1.9." "lnkgutabs.1.9." "lnFgluc.1.9." "lnCltot.1.10." "lnClmet.1.10." "lnkufrac.1.10." "lnVdist.1.10." "lnVdistmet.1.10." "lnkgutabs.1.10." "lnFgluc.1.10." "LnPrior" "LnData" "LnPosterior"
33950 0.411308 3.2612 -1.57713 1.88131 1.83649 4.53572 -2.40935 0.467973 0.168208 0.414262 0.534517 0.421919 0.0923311 0.733756 1.98759 1.84414 1.10248 1.10034 -2.8445 1.64486 -0.344765 -2.47115 -1.49272 -0.661441 -0.266448 0.420799 2.47017 1.54753 -1.69712 2.13589 1.18821 -0.366754 -0.114588 2.42511 -0.823827 -1.06983 -1.37534 0.836484 0.426987 0.713873 -2.05293 1.97223 -0.397699 0.78966 -0.940255 2.17833 -0.475345 0.406696 0.488147 -0.949794 0.137365 1.0521 1.37704 -0.556285 2.1143 -1.1441 0.315049 0.287797 -0.511753 -0.303174 0.164352 -0.185034 1.09236 -2.11893 -2.65277 0.902108 0.174901 1.74424 -0.0571059 -0.853318 0.129952 1.43769 -0.898904 -3.07717 0.82058 0.705358 -0.172017 1.05455 0.231304 1.20494 -2.30596 0.760679 -0.798156 -0.384385 0.469168 0.772289 -0.523357 -0.68896 -157.3565 -1374.965 -1532.321
32850 0.0300819 3.49593 -1.54581 1.10235 2.70802 3.11503 -1.97034 0.610423 0.128326 0.404721 0.738043 0.077802 0.0295083 0.621575 1.82894 1.75082 1.10577 1.10685 -2.28144 -0.0234543 -0.243143 -1.06986 0.244319 -0.578758 -0.757232 0.740998 -1.26424 1.4602 -0.544441 0.863043 -0.302795 -1.04878 -0.406414 0.506649 -1.12279 -0.64836 0.467274 -0.456056 0.0330734 0.72602 0.865855 1.82223 0.0771297 -1.61663 -2.0204 1.57519 0.454049 1.09115 0.291484 0.562108 0.0948782 -2.03666 1.16253 -0.642474 -0.491845 -1.22566 0.496718 -0.933331 -0.464552 -1.19842 -0.225594 0.0959355 1.12179 -1.31544 -0.938843 0.57272 -0.581772 2.79254 -0.673608 -1.13865 1.78194 1.69328 -0.831624 -2.72687 1.21191 0.708506 -0.422921 1.54565 -1.21501 -1.32088 -1.96474 1.31101 0.239207 -0.600625 1.32894 -0.185266 0.350591 -1.45066 -141.7747 -1385.309 -1527.083
41150 0.667208 3.8337 -1.5242 1.52488 1.60329 3.22683 -2.91178 0.517721 0.0824475 0.414599 0.497988 0.367734 0.0934043 0.691443 1.99902 2.01262 1.10002 1.10761 -2.49789 -1.73178 -0.570515 -1.48037 -0.317717 0.667126 0.0223504 0.292979 -0.29895 1.40131 -0.925137 -0.24549 1.44389 -0.977495 -0.951473 -0.00921353 -1.10695 -0.924523 -1.17405 0.809086 1.1396 0.651401 -0.906271 1.74124 -0.128915 0.554246 -0.879221 2.10731 -0.950597 0.753762 0.488028 -0.140861 -0.834695 -0.840629 2.28146 -1.29713 -0.631242 -1.32747 0.514295 0.368259 0.0404172 0.202268 -0.383733 1.46565 1.09511 -1.67522 -0.299638 -0.725038 0.561452 1.26952 -0.250991 -0.952202 1.72497 1.24824 0.255914 -1.22626 0.259478 0.234853 -0.317222 1.94328 2.13593 -0.197147 -2.32437 0.111686 2.84665 -0.537735 1.07271 0.708766 -0.511592 -0.373675 -139.5023 -1391.298 -1530.8
33350 0.142686 2.90486 -1.59946 1.60347 2.13166 4.07911 -2.21417 0.545361 0.00388968 0.436861 0.546386 0.118576 0.188052 0.632207 1.82955 2.02684 1.10246 1.10031 -1.98029 -0.972455 -0.492185 -1.86747 2.01488 0.221328 -0.580756 0.997645 -1.35966 1.59929 -0.939994 0.0870683 -0.733648 -0.589518 -0.0640666 -1.01336 -0.740044 -0.979496 -0.241094 -0.00548781 0.30413 0.87912 1.11549 1.77577 -0.503011 1.94848 -0.222303 1.99961 0.803009 -0.397025 0.35584 0.0356142 -0.594324 0.404006 1.47517 -0.499603 -1.88002 -0.894188 0.327989 -1.16981 -0.137228 -0.894528 0.312588 1.29685 1.04639 -1.94432 0.178026 -0.0958314 0.128319 1.85546 -0.70227 -0.833558 1.0932 1.81258 0.357204 -2.72762 1.14666 -0.0659659 -0.18947 1.45711 0.638991 1.01353 -2.76103 1.16611 -1.40704 -0.279359 0.766466 1.59931 -0.629447 -1.18161 -141.0786 -1379.103 -1520.181
28800 0.675866 2.65618 -1.60172 1.53367 1.89834 3.19659 -2.9586 0.482963 0.176595 0.506564 0.524292 0.657504 0.0226595 0.606032 1.97742 1.95024 1.10053 1.10674 -3.05786 0.381994 -0.279945 -1.4758 -2.00559 -0.170198 0.468011 -0.547362 0.189446 1.31093 -1.5651 -0.0400881 -0.999018 0.475793 -0.454914 0.525929 -0.694349 -0.201559 -0.730028 -0.707016 1.33765 0.123517 -0.0955009 1.52744 -0.0901771 0.941954 0.620515 3.35507 0.140283 0.0699775 0.445395 0.735455 -1.18005 -1.19631 2.75011 -0.757247 0.959444 -0.882668 1.16483 0.0433121 -1.13151 0.515214 -0.681094 0.534057 1.12416 -1.76361 -0.744645 -1.60993 0.827507 2.05706 -0.832823 -0.668262 2.32951 0.122113 0.752021 -1.78757 -0.0719552 1.10931 -0.0415682 1.42574 1.70942 -0.109982 -1.43225 0.0563606 0.0311075 -0.200106 0.86171 0.929824 0.541738 -0.712608 -143.9143 -1379.591 -1523.505
47300 0.384904 3.05322 -1.61769 1.1878 1.94574 4.13712 -2.49279 0.626882 0.150836 0.41819 0.463335 0.184138 0.0333877 0.553582 1.8072 1.79573 1.10009 1.10187 -1.71041 0.187568 -0.295591 -0.705355 -1.12614 0.880547 -0.625078 0.217282 0.167508 1.67824 -0.619984 0.450439 0.529965 -2.01026 -0.35291 1.05416 -0.808293 -0.0753678 -0.677839 -0.783848 0.666065 0.0771236 0.788018 2.13426 0.279525 -0.443213 -0.698853 2.95841 0.294161 -0.282052 0.434654 0.863306 -0.390852 0.825267 2.15206 -0.990863 0.105072 -1.03497 0.901278 -0.312595 0.602418 -0.609084 -0.214946 -0.840872 1.31633 -1.51959 -0.747175 0.848162 0.665068 2.30709 -0.148116 -0.865447 2.33852 -0.261518 0.653481 -2.08504 0.734934 1.57089 -0.04667 2.72086 0.51115 1.3472 -2.68584 0.514331 -1.59018 -0.370192 1.75369 0.88912 -2.23168 -0.617612 -142.8101 -1381.894 -1524.705
27500 0.441631 3.30719 -1.60203 1.51078 1.78975 3.42058 -2.44779 0.474944 0.0982272 0.264544 0.596002 0.231026 0.291843 0.756215 1.79248 1.74905 1.10125 1.10763 -1.80201 -0.840781 -0.869741 -0.941692 -0.0906644 -0.713132 -0.619759 0.869101 -0.36824 2.52038 -0.715006 -0.736334 1.556 0.205707 -0.286884 -0.609803 -1.21142 -0.310453 -0.308447 -0.953616 0.380151 0.525868 0.407032 3.00973 -0.135028 0.269976 -1.29381 1.82319 -0.325928 0.101914 0.808198 -0.322481 0.691465 -0.108981 1.56311 -1.08346 -1.52789 -1.39124 0.563442 -1.57777 0.0613374 -0.46142 -0.784944 0.158033 1.91141 -2.0554 -0.115194 -0.703294 -0.117438 2.90254 -0.906375 -1.30351 1.96274 1.95597 0.628575 -1.82018 1.57435 0.782399 -0.131282 2.16754 -0.133386 -1.0192 -2.32837 -0.135926 -1.01618 -0.590774 0.329309 -0.080163 -0.298946 -0.53066 -143.4327 -1389.406 -1532.839
26450 0.174406 4.81853 -1.77007 1.28724 2.60565 3.73998 -2.76098 0.508573 0.0397807 0.388006 0.459031 0.200443 0.145741 0.551891 2.04817 1.92765 1.10251 1.11051 -1.20939 1.74289 -0.00299519 -0.666231 0.0579251 0.0469055 0.122788 0.622114 -1.51868 2.37954 -0.720227 -0.657357 -0.313333 -0.073484 -0.870365 -1.04059 -0.482773 -1.45182 -1.98387 -1.43663 1.24622 0.885101 -1.25254 2.44773 0.312286 0.530961 -0.753847 2.752 0.0829499 -1.08198 0.894703 0.490937 -1.03124 -1.53397 2.44618 -1.13798 1.7389 -0.656906 0.52375 -0.557348 -0.192918 0.299235 -0.124218 -0.619121 1.6453 -2.21815 -0.954011 0.191415 1.21117 2.10927 0.13679 -0.39684 1.21929 2.42695 -1.28379 -2.76214 1.46565 -0.873597 0.170033 2.95225 -0.889911 0.714206 -1.00786 0.534518 1.38283 -0.132201 0.879708 1.20475 0.242682 -0.359592 -149.0709 -1392.793 -1541.863
37800 0.683033 4.30334 -1.48091 1.44597 1.90229 3.9506 -2.53496 0.381484 0.354989 0.415743 0.50785 0.0909792 0.136361 0.6025 1.91311 1.89274 1.10021 1.10568 -3.01852 1.37482 -0.963613 -0.998651 0.452852 0.0352077 -0.186651 -0.370348 -0.584853 1.34512 -0.825078 -0.917144 1.0297 0.563556 -0.355293 0.847764 -1.19582 0.255137 1.72489 0.390948 1.08035 -0.251322 -0.339007 1.94931 -0.0203412 -0.253551 1.88662 1.85994 0.641611 -0.771225 0.210449 1.41473 -0.40811 0.113856 1.91658 -1.04987 -0.822912 -1.42737 1.24398 0.0904923 -0.972461 -0.19854 -1.4991 -0.353995 0.836223 -2.20143 -1.44589 0.300734 1.06121 1.40221 1.1062 -1.09439 1.7306 1.2181 -0.0898291 -2.49929 0.365057 1.64168 -0.502384 2.14083 0.0672579 -0.17084 -1.72664 -0.147052 -0.31292 -0.662295 0.951128 -0.389592 -0.376543 -0.443548 -138.7905 -1391.242 -1530.032
46950 0.297076 3.44701 -1.46296 1.84409 1.82147 3.56026 -2.52433 0.502134 0.0117844 0.414932 0.646016 0.152736 0.166716 0.64158 2.01239 1.77798 1.10875 1.11365 -2.44371 -0.339923 -0.762783 -2.21406 0.587014 0.372635 -1.25028 1.30808 -0.798681 1.2173 -0.756 -0.54606 0.360343 0.491033 -1.0321 0.665898 -0.864598 -1.60965 1.5832 0.701988 0.735086 1.10664 2.36848 1.6479 -0.340686 0.020778 2.53693 1.85962 1.1058 0.528461 0.109237 -0.0528686 -1.19451 0.101778 1.56187 0.144186 0.0673411 -1.21496 0.768805 -0.168895 -0.767608 -0.265478 -0.400168 -0.744319 0.871048 -2.38795 -1.41307 -0.687873 0.764073 1.92977 1.50635 -0.945729 1.05587 1.21189 1.44183 -2.03071 1.87463 0.783864 -0.593356 1.45547 -1.6678 -1.07768 -2.30949 0.631785 -1.00524 -0.826811 0.0793378 -0.270092 2.46055 -0.15564 -148.258 -1400.927 -1549.185
