Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt_out	0.25	1.87	0.716294
1_1	1	Ccpt_out	0.5	1.76	0.705651
1_1	1	Ccpt_out	1	0.99	0.623531
1_1	1	Ccpt_out	2	0.7	0.484495
1_1	1	Ccpt_out	4	0.08	0.29251

1_1	1	Ctot_out	0.25	2.6	0.890926
1_1	1	Ctot_out	0.5	3.126	0.877689
1_1	1	Ctot_out	1	1.148	0.775548
1_1	1	Ctot_out	2	1.294	0.602615
1_1	1	Ctot_out	4	0.08	0.363824

1_1	1	Qu_out	2.05	5069	6456.99
1_1	1	Qu_out	4.3	10300.6	10807.4
1_1	1	Qu_out	5.88	15184.7	12679
1_1	1	Qu_out	9.3	16167	14887.9
1_1	1	Qu_out	14.55	16545	16071.5

1_1	1	Qu_tot_out	2.05	8662.13	8724.65
1_1	1	Qu_tot_out	4.3	13893.7	15141.7
1_1	1	Qu_tot_out	5.88	18892.8	17905.4
1_1	1	Qu_tot_out	9.3	19889.7	21167.1
1_1	1	Qu_tot_out	14.55	20321.6	22914.9

1_1	1	Ccpt	0		0
1_1	1	Ccpt	0.1		0.547793
1_1	1	Ccpt	0.2		0.694332
1_1	1	Ccpt	0.3		0.723896
1_1	1	Ccpt	0.4		0.71957
1_1	1	Ccpt	0.5		0.705651
1_1	1	Ccpt	0.6		0.689243
1_1	1	Ccpt	0.7		0.672414
1_1	1	Ccpt	0.8		0.655762
1_1	1	Ccpt	0.9		0.639453
1_1	1	Ccpt	1		0.623531
1_1	1	Ccpt	1.1		0.607999
1_1	1	Ccpt	1.2		0.592852
1_1	1	Ccpt	1.3		0.578082
1_1	1	Ccpt	1.4		0.56368
1_1	1	Ccpt	1.5		0.549636
1_1	1	Ccpt	1.6		0.535943
1_1	1	Ccpt	1.7		0.52259
1_1	1	Ccpt	1.8		0.50957
1_1	1	Ccpt	1.9		0.496875
1_1	1	Ccpt	2		0.484495
1_1	1	Ccpt	2.1		0.472425
1_1	1	Ccpt	2.2		0.460655
1_1	1	Ccpt	2.3		0.449177
1_1	1	Ccpt	2.4		0.437986
1_1	1	Ccpt	2.5		0.427074
1_1	1	Ccpt	2.6		0.416433
1_1	1	Ccpt	2.7		0.406058
1_1	1	Ccpt	2.8		0.395941
1_1	1	Ccpt	2.9		0.386077
1_1	1	Ccpt	3		0.376458
1_1	1	Ccpt	3.1		0.367079
1_1	1	Ccpt	3.2		0.357933
1_1	1	Ccpt	3.3		0.349015
1_1	1	Ccpt	3.4		0.340319
1_1	1	Ccpt	3.5		0.33184
1_1	1	Ccpt	3.6		0.323572
1_1	1	Ccpt	3.7		0.315511
1_1	1	Ccpt	3.8		0.30765
1_1	1	Ccpt	3.9		0.299984
1_1	1	Ccpt	4		0.29251
1_1	1	Ccpt	4.1		0.285222
1_1	1	Ccpt	4.2		0.278116
1_1	1	Ccpt	4.3		0.271187
1_1	1	Ccpt	4.4		0.26443
1_1	1	Ccpt	4.5		0.257842
1_1	1	Ccpt	4.6		0.251418
1_1	1	Ccpt	4.7		0.245154
1_1	1	Ccpt	4.8		0.239046
1_1	1	Ccpt	4.9		0.23309
1_1	1	Ccpt	5		0.227283
1_1	1	Ccpt	5.1		0.221621
1_1	1	Ccpt	5.2		0.216099
1_1	1	Ccpt	5.3		0.210715
1_1	1	Ccpt	5.4		0.205465
1_1	1	Ccpt	5.5		0.200346
1_1	1	Ccpt	5.6		0.195355
1_1	1	Ccpt	5.7		0.190488
1_1	1	Ccpt	5.8		0.185742
1_1	1	Ccpt	5.9		0.181115
1_1	1	Ccpt	6		0.176602
1_1	1	Ccpt	6.1		0.172203
1_1	1	Ccpt	6.2		0.167912
1_1	1	Ccpt	6.3		0.163729
1_1	1	Ccpt	6.4		0.15965
1_1	1	Ccpt	6.5		0.155672
1_1	1	Ccpt	6.6		0.151794
1_1	1	Ccpt	6.7		0.148012
1_1	1	Ccpt	6.8		0.144325
1_1	1	Ccpt	6.9		0.140729
1_1	1	Ccpt	7		0.137223
1_1	1	Ccpt	7.1		0.133804
1_1	1	Ccpt	7.2		0.13047
1_1	1	Ccpt	7.3		0.12722
1_1	1	Ccpt	7.4		0.12405
1_1	1	Ccpt	7.5		0.12096
1_1	1	Ccpt	7.6		0.117946
1_1	1	Ccpt	7.7		0.115008
1_1	1	Ccpt	7.8		0.112142
1_1	1	Ccpt	7.9		0.109349
1_1	1	Ccpt	8		0.106624
1_1	1	Ccpt	8.1		0.103968
1_1	1	Ccpt	8.2		0.101378
1_1	1	Ccpt	8.3		0.0988518
1_1	1	Ccpt	8.4		0.096389
1_1	1	Ccpt	8.5		0.0939876
1_1	1	Ccpt	8.6		0.091646
1_1	1	Ccpt	8.7		0.0893628
1_1	1	Ccpt	8.8		0.0871364
1_1	1	Ccpt	8.9		0.0849655
1_1	1	Ccpt	9		0.0828487
1_1	1	Ccpt	9.1		0.0807846
1_1	1	Ccpt	9.2		0.0787719
1_1	1	Ccpt	9.3		0.0768094
1_1	1	Ccpt	9.4		0.0748958
1_1	1	Ccpt	9.5		0.0730298
1_1	1	Ccpt	9.6		0.0712104
1_1	1	Ccpt	9.7		0.0694362
1_1	1	Ccpt	9.8		0.0677063
1_1	1	Ccpt	9.9		0.0660195
1_1	1	Ccpt	10		0.0643747
1_1	1	Ccpt	10.1		0.0627709
1_1	1	Ccpt	10.2		0.061207
1_1	1	Ccpt	10.3		0.0596821
1_1	1	Ccpt	10.4		0.0581952
1_1	1	Ccpt	10.5		0.0567453
1_1	1	Ccpt	10.6		0.0553315
1_1	1	Ccpt	10.7		0.053953
1_1	1	Ccpt	10.8		0.0526088
1_1	1	Ccpt	10.9		0.0512981
1_1	1	Ccpt	11		0.0500201
1_1	1	Ccpt	11.1		0.0487739
1_1	1	Ccpt	11.2		0.0475588
1_1	1	Ccpt	11.3		0.0463739
1_1	1	Ccpt	11.4		0.0452185
1_1	1	Ccpt	11.5		0.044092
1_1	1	Ccpt	11.6		0.0429935
1_1	1	Ccpt	11.7		0.0419223
1_1	1	Ccpt	11.8		0.0408779
1_1	1	Ccpt	11.9		0.0398594
1_1	1	Ccpt	12		0.0388664
1_1	1	Ccpt	12.1		0.0378981
1_1	1	Ccpt	12.2		0.0369539
1_1	1	Ccpt	12.3		0.0360332
1_1	1	Ccpt	12.4		0.0351355
1_1	1	Ccpt	12.5		0.0342601
1_1	1	Ccpt	12.6		0.0334066
1_1	1	Ccpt	12.7		0.0325743
1_1	1	Ccpt	12.8		0.0317627
1_1	1	Ccpt	12.9		0.0309714
1_1	1	Ccpt	13		0.0301998
1_1	1	Ccpt	13.1		0.0294474
1_1	1	Ccpt	13.2		0.0287137
1_1	1	Ccpt	13.3		0.0279984
1_1	1	Ccpt	13.4		0.0273008
1_1	1	Ccpt	13.5		0.0266207
1_1	1	Ccpt	13.6		0.0259574
1_1	1	Ccpt	13.7		0.0253107
1_1	1	Ccpt	13.8		0.0246801
1_1	1	Ccpt	13.9		0.0240653
1_1	1	Ccpt	14		0.0234657
1_1	1	Ccpt	14.1		0.0228811
1_1	1	Ccpt	14.2		0.022311
1_1	1	Ccpt	14.3		0.0217552
1_1	1	Ccpt	14.4		0.0212132
1_1	1	Ccpt	14.5		0.0206847
1_1	1	Ccpt	14.6		0.0201693
1_1	1	Ccpt	14.7		0.0196668
1_1	1	Ccpt	14.8		0.0191768
1_1	1	Ccpt	14.9		0.0186991
1_1	1	Ccpt	15		0.0182332
1_1	1	Ccpt	15.1		0.0177789
1_1	1	Ccpt	15.2		0.017336
1_1	1	Ccpt	15.3		0.0169041
1_1	1	Ccpt	15.4		0.016483
1_1	1	Ccpt	15.5		0.0160723
1_1	1	Ccpt	15.6		0.0156719
1_1	1	Ccpt	15.7		0.0152814
1_1	1	Ccpt	15.8		0.0149007
1_1	1	Ccpt	15.9		0.0145295
1_1	1	Ccpt	16		0.0141675
