iter	M_lnCltot(1)	M_lnClmet(1)	M_lnkufrac(1)	M_lnVdist(1)	M_lnVdistmet(1)	M_lnkgutabs(1)	M_lnFgluc(1)	SD_lnCltot(1)	SD_lnClmet(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	SD_lnkgutabs(1)	SD_lnFgluc(1)	GSD_Ccpt(1)	GSD_Ctot(1)	GSD_Qu(1)	GSD_Qu_tot(1)	lnCltot(1.1)	lnClmet(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnkgutabs(1.1)	lnFgluc(1.1)	lnCltot(1.2)	lnClmet(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnkgutabs(1.2)	lnFgluc(1.2)	lnCltot(1.3)	lnClmet(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnkgutabs(1.3)	lnFgluc(1.3)	lnCltot(1.4)	lnClmet(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnkgutabs(1.4)	lnFgluc(1.4)	lnCltot(1.5)	lnClmet(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnkgutabs(1.5)	lnFgluc(1.5)	lnCltot(1.6)	lnClmet(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnkgutabs(1.6)	lnFgluc(1.6)	lnCltot(1.7)	lnClmet(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnkgutabs(1.7)	lnFgluc(1.7)	lnCltot(1.8)	lnClmet(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnkgutabs(1.8)	lnFgluc(1.8)	lnCltot(1.9)	lnClmet(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnkgutabs(1.9)	lnFgluc(1.9)	lnCltot(1.10)	lnClmet(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	lnkgutabs(1.10)	lnFgluc(1.10)	LnPrior	LnData	LnPosterior
0	-3.82896	-0.401476	-2.00357	1.24426	-3.25587	1.03985	-3.86378	0.153029	0.186064	0.103991	0.656416	0.131303	0.0558064	0.0873688	2.37099	1.44161	1.88525	2.94447	0.831157	-0.0548614	-0.935326	-1.67345	-1.2471	0.279052	0.0331688	-0.370109	-0.807947	-0.395102	1.50066	-1.18563	0.555186	-0.91688	-1.87286	1.13912	0.0909168	0.379285	-0.870766	0.575924	1.19111	0.671968	0.610029	2.07045	0.270609	-0.0965945	-0.166933	-1.25262	1.03777	0.479681	-0.00499002	-0.387474	0.556074	0.627884	-0.0924223	0.789109	0.594708	1.03868	-1.36362	0.583133	-0.777455	-1.09286	-0.485531	-0.537247	1.03627	-0.0627687	-0.615571	0.119255	1.21724	0.769876	-0.89772	0.0413699	1.02509	1.036	-1.94066	-0.0146182	1.4949	-2.80048	0.137968	0.916583	0.326289	0.0517044	0.339826	-0.348937	 1.59	0.738961	0.782206	-0.192632	0.729132	-1.4325	-1.150537e+002	-8.439368e+003	-8.554422e+003
50	-3.13599	-1.34185	-1.05425	0.744008	3.4587	3.95139	-2.51213	0.963124	0.260382	0.541583	0.481529	0.00564172	0.0301087	0.0683164	2.13846	1.95279	1.57856	1.37455	2.29143	2.32127	-1.45871	-1.02844	-0.444437	0.484487	-0.426504	3.46728	-0.508693	0.207914	0.242554	-1.53927	-0.826636	-2.12918	2.68792	-0.343756	-0.847106	-0.0457536	-0.247679	0.360494	-1.87819	3.17871	-0.309103	1.28038	0.973851	-1.82061	-1.01967	-0.128971	3.18371	-0.360773	0.125482	0.20517	1.00116	-1.42145	0.132985	2.41604	0.0687296	-0.662709	1.52064	-0.420272	1.3235	0.785015	3.07464	-1.4824	0.670599	-0.0548761	-0.512805	0.698294	1.05834	1.68164	0.239974	0.462372	2.03502	2.13061	0.0882199	-0.54582	3.15147	1.17536	-1.4965	1.05611	-0.547687	-0.074156	0.753661	1.94342	-0.162554	0.119639	2.05674	0.200213	0.753831	1.14736	-1.688612e+002	-1.631793e+003	-1.800654e+003
100	-2.63711	4.08147	-1.3417	0.82599	2.58326	3.97073	-2.45559	1.10039	0.257489	0.408857	0.405343	0.0805737	0.0320297	0.61255	2.46325	1.85763	1.13217	1.15238	1.80584	1.16495	-1.60419	-0.916472	-2.69851	0.910902	-0.131239	2.89763	0.291185	0.816754	-0.0503049	1.03415	-1.22492	-0.69354	2.10991	-0.945727	-1.37326	-0.225268	0.143061	0.511895	0.315984	2.90074	1.09879	1.41159	0.921885	0.340926	0.407972	0.93724	2.06907	-1.07537	-0.161768	0.164922	-0.694553	-0.631857	1.64811	1.94131	-0.981035	-1.69592	1.13969	1.81775	-0.027935	-0.769784	2.70974	0.0841611	0.687532	-0.289668	-0.635412	-2.04669	0.379315	2.20946	0.333339	-1.2042	0.883717	-0.233203	-1.00038	-2.61311	2.30913	0.495042	-0.668562	2.05597	-0.678241	0.417165	-3.0504	2.26588	0.559318	-1.15795	0.811347	0.982765	-0.141839	-0.151384	-1.701249e+002	-1.445964e+003	-1.616089e+003
150	-2.65393	3.31062	-1.3339	0.989916	2.89214	4.85908	-2.45984	1.10937	0.14366	0.469036	0.419616	0.135815	0.202891	0.553177	2.27044	1.81023	1.10904	1.10847	1.3731	0.913895	-0.85256	-1.11838	-3.17521e-005	-1.68127	-0.161615	2.8836	0.233255	0.741578	-0.471516	1.01703	-1.09808	-0.454291	2.02084	0.661691	-1.23004	-1.00522	-2.68097	-0.520738	0.888924	2.95536	0.0674504	1.3175	0.695813	0.553894	0.11065	2.2775	2.19543	-0.254836	-0.112065	-0.178143	-0.486803	-0.81656	2.09818	1.99482	0.591705	-1.53486	1.02842	0.48265	-1.10583	-0.3516	2.56413	1.42879	0.3414	-1.53698	0.949189	-0.188382	0.677118	3.2161	-0.6759	-1.27294	2.15463	0.140292	-0.920121	-2.21091	2.72062	-1.48651	-0.78046	2.49283	0.733247	2.44436	-2.09576	2.51949	-0.980806	-1.03872	0.982557	1.22668	-2.20613	-0.384553	-1.825003e+002	-1.395031e+003	-1.577532e+003
200	-2.62575	4.40379	-1.3206	1.17565	2.99342	3.58689	-2.44152	1.12158	0.376383	0.495964	0.531585	0.00429141	0.253499	0.576853	2.14289	1.86598	1.10161	1.10067	1.38042	1.41871	-0.797557	-1.23589	1.82417	-0.730831	-0.508728	2.69384	-0.293479	0.795505	-0.715882	0.745678	0.956158	-0.101851	2.28301	-1.16594	-1.29819	-0.564	0.0433023	-1.46317	0.561686	2.51519	-2.55529	1.11276	-0.432873	1.21928	-0.251729	1.93693	2.1984	-0.90082	-0.0223124	-0.0711752	-0.234379	-1.12211	1.80363	1.88696	1.08469	-1.46422	0.382725	0.884417	-0.354654	-0.336486	2.5153	1.32165	0.302831	-1.38789	0.308697	0.883904	0.72895	3.3597	1.1853	-1.24419	1.30892	0.702658	0.350047	-3.70905	2.61676	-0.850694	-0.688082	1.54245	-0.678225	-0.0440618	-2.05232	2.68087	0.684766	-0.834137	1.00395	-0.483397	0.458506	-0.644405	-1.782640e+002	-1.386172e+003	-1.564436e+003
250	-2.59415	3.58388	-1.35849	1.18809	2.59668	3.48857	-2.49627	1.16725	0.0495876	0.463101	0.460565	0.175037	0.0572746	0.570414	2.65811	1.78667	1.11753	1.11575	1.52857	1.54292	-1.01612	-1.03201	-0.313752	-1.49577	0.805252	2.5136	0.157603	1.00212	-0.776592	-0.874525	0.0269802	0.150362	2.09196	1.07898	-1.2338	-0.701052	0.545188	1.15503	0.901545	2.50078	-0.107194	1.29802	-0.182535	-0.422008	1.7882	2.06075	2.24634	-0.40483	0.0313514	-0.119694	0.148018	0.989468	2.03254	1.4713	-0.68757	-1.41437	-0.34023	0.57567	0.163624	-0.294383	2.66157	-0.596584	0.549744	-0.909249	0.0662333	1.29373	-0.478321	3.2889	-0.0567848	-1.41054	0.677623	1.14628	0.379834	-2.50749	2.63608	0.790774	-0.777734	1.63354	-0.422689	-0.101164	-1.7815	2.58057	0.725484	-0.977997	0.895248	2.15248	0.172767	-0.379607	-1.665175e+002	-1.412297e+003	-1.578814e+003
300	-2.53178	4.38568	-1.39835	1.24268	2.06078	3.81491	-2.43119	1.218	0.01783	0.481603	0.462503	0.26573	0.0488649	0.653994	2.11356	1.9102	1.10194	1.10357	1.54493	-1.58255	-0.917945	-1.13747	0.988232	-0.329997	-0.448269	2.57832	-0.865692	1.07043	-0.527842	0.515933	-0.736236	-0.000536318	2.4244	-0.758227	-1.20599	0.261082	-0.572379	-0.833387	0.308545	2.59254	-1.91525	1.15919	0.145889	0.753934	0.102103	2.04074	1.88829	-1.00819	-0.114957	-0.4906	-0.716791	0.0131371	1.70249	1.62375	0.191724	-1.42394	0.0656047	-0.843932	1.13631	-0.141904	2.19827	-0.0295612	0.602964	-1.63482	-1.3826	0.431137	0.681008	3.35022	-0.189956	-1.17368	2.34547	0.310705	3.20865	-2.3666	2.66815	0.929902	-0.580445	2.08542	1.87706	-0.560387	-1.63383	2.51894	-0.153029	-0.966497	1.27838	-0.0951306	1.43876	-0.306083	-1.779148e+002	-1.394760e+003	-1.572675e+003
350	-2.38061	6.81786	-1.44017	1.19357	2.91675	3.44963	-2.32845	1.16598	0.27703	0.460411	0.519108	0.0310987	0.23099	0.436925	2.29034	1.91667	1.10498	1.124	1.23976	-1.1825	-0.62675	-0.97241	0.310782	-0.891423	0.0603779	2.37932	0.315388	1.05441	-0.895599	-1.10154	-2.17777	-0.079426	2.2305	0.014318	-1.09183	-0.173633	-1.77652	1.53974	0.596592	2.53404	-0.465555	1.40566	0.665053	-0.200833	0.143723	3.21179	1.74043	-0.49339	0.0355112	-0.423607	0.159073	-0.378487	2.11736	1.50018	-0.261666	-1.40417	0.115728	0.723167	0.772282	-0.715254	2.4038	0.0486942	0.600606	-0.962958	-1.09517	0.590181	-0.167773	3.16425	1.76823	-1.21885	0.67056	-2.16423	0.441488	-2.91974	2.38362	-1.13026	-0.380206	2.16649	0.172828	0.175559	-2.8899	2.20477	-1.76287	-0.678681	0.568533	1.06013	-1.18576	-1.3921	-1.783652e+002	-1.410620e+003	-1.588986e+003
400	-2.2998	3.64765	-1.4268	1.13527	2.41217	2.04872	-2.44897	1.10802	0.235086	0.434465	0.59955	0.518628	0.42038	0.482864	2.81473	2.00389	1.10378	1.10819	1.33304	-1.76685	-1.00748	-1.15835	0.0823345	1.76342	-0.393837	2.23405	0.131141	1.19692	-1.06255	-0.234431	1.50617	-0.304419	2.17118	-1.86899	-1.08771	-0.196076	-1.16907	0.484422	0.719345	2.35884	-1.29866	1.6115	-0.0990149	1.0306	-0.0810277	2.85121	1.32262	0.51076	0.0398952	-1.27488	-0.48371	0.169245	2.08179	1.55498	1.25942	-1.38789	0.320719	1.157	0.753167	-0.447864	2.23166	0.223115	0.773788	-1.35032	-1.31918	0.948052	1.06697	3.06843	0.530028	-1.20748	1.5682	0.332753	0.0590307	-2.68171	1.92689	-0.866241	-0.621193	0.48205	1.55369	0.974693	-2.5119	2.57346	0.933967	-0.795176	1.32421	-0.453574	-0.110023	-0.269938	-1.720367e+002	-1.402767e+003	-1.574803e+003
450	-2.4553	3.75281	-1.43064	0.997059	3.13649	3.13992	-2.27004	1.12065	0.259585	0.410026	0.567839	0.00560131	0.43968	0.527527	2.94023	1.69733	1.10269	1.11025	0.760149	0.00575694	-0.906176	-1.92767	-1.50783	1.60211	-0.473356	2.43825	0.00711499	1.09854	-0.77657	-0.314909	0.6272	0.359448	1.86138	-0.567115	-1.06117	-0.381133	-1.47685	0.247051	0.581335	2.689	-1.94909	1.21196	0.2855	-0.154459	-0.749181	2.28287	1.76827	0.441376	0.139431	-0.661815	0.411499	-2.05895	1.765	1.49041	-0.558756	-1.491	0.120977	0.221521	-0.584564	-0.776195	2.37517	1.8253	1.02393	-0.724109	0.183759	-0.207329	-0.62511	3.37492	0.499489	-1.42472	1.81589	0.510504	-0.177063	-2.51885	2.49704	0.794475	-0.55234	1.64687	-1.55189	-0.538309	-2.46853	2.41124	-0.742179	-0.786605	1.1057	-0.335466	0.460162	-0.936224	-1.707196e+002	-1.407072e+003	-1.577791e+003
