"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
7.58,21.11,2.57,0,0
1.72,1.43,0,0,0
0.6,1.39,0.14,0,0
0.51,0.02,0,0,0
4.77,17.85,0.21,0,0
0,0,0,0,0
1.23,2.67,0,0,0
2.63,10.17,0,0,0
2.06,2.07,0,0,0
6.12,31.13,0,0,0
0.39,1,0.04,0,0
1.07,2.21,0.14,0,0
15.29,29.12,8.67,0.04,0.05
0.68,1.37,0,0,0
0.05,0,0,0,0
0.05,0.03,0,0,0
5.29,16.2,0.54,0,0
1.02,0.89,0,0,0
1.26,2.45,0,0,0
1.31,3.56,0.17,0,0
0.35,0.27,0,0,0
7.9,27.21,0.73,0,0
4.43,20.68,0,0,0
3.11,19.83,0,0,0
0.45,0.83,0.01,0,0
0.63,0.7,0,0,0
5.4,24.17,0,0,0
12.54,26.49,7.21,0.04,0.12
1.06,0.46,0,0,0
1.77,5.36,0.15,0,0
2.36,4.91,1.06,0.02,0.01
0,0,0,0,0
0.59,0,0,0,0
3.25,12.34,0,0,0
17.25,39.56,8.45,0,0.01
0.86,2,0.05,0,0
0,0,0,0,0
1.87,6.63,0.03,0,0
2.8,8.11,0.26,0,0
10.03,23.5,4.29,0.01,0
37.84,53.97,30.4,1.95,1.65
0.02,0,0,0,0
0.89,1.84,0.06,0,0
1.08,0,0,0,0
13.91,31.57,6.26,0.04,0.06
24.94,53.2,13.53,0.08,0.31
0,0,0,0,0
0.04,0.04,0,0,0
0.48,0.2,0,0,0
7.85,20.23,2.92,0,0.02
1.02,0,0,0,0
0,0,0,0,0
45.58,80.34,37.45,0,0.01
3.96,16.73,0.01,0,0
5.5,28.24,0,0,0
1.04,0,0,0,0
0.01,0,0,0,0
5.07,22.98,0,0,0
0.31,0.15,0,0,0
2.84,9.35,0,0,0
24.63,42.16,17.28,0.5,0.53
9.24,39.79,0,0,0
0.1,0.08,0,0,0
30.65,44.12,24.23,1.49,1.29
4.52,24.41,0,0,0
3.19,17.85,0,0,0
14.93,41.3,4.46,0,0
9.49,20.06,4.31,0.01,0.02
0.95,0,0,0,0
0.65,1.49,0.05,0,0
3.57,20,0,0,0
3.64,10.56,0.7,0,0
0.82,1.92,0.1,0,0
3.2,10.04,0.08,0,0
18.76,43.76,7.63,0,0.01
23.2,37.23,16.91,0.7,0.57
2.22,6,0.41,0,0
0,0,0,0,0
17.21,38.92,8.55,0.01,0.06
1.02,0.33,0,0,0
1.47,2.55,0,0,0
0.26,0,0,0,0
51.47,70.66,41.64,0.59,0.64
4.39,20.79,0.06,0,0
1.41,3.51,0.27,0,0
44.91,70.99,34.7,0.08,0.17
0.08,0.05,0,0,0
0.19,0.02,0,0,0
36.05,57.96,27.5,0.47,0.51
0.14,0.05,0,0,0
4.44,15.92,0.28,0,0
8.06,27.06,1.92,0,0
9.41,19.67,4.81,0.04,0.01
0.02,0,0,0,0
11.63,32.46,4,0,0.01
0.89,0,0,0,0
11.88,25.17,6.35,0.02,0.05
0.6,0,0,0,0
0.58,0,0,0,0
0,0,0,0,0
0,0,0,0,0
