iter,M_lnCltot.1.,SD_lnCltot.1.,M_lnClmet.1.,SD_lnClmet.1.,M_lnkufrac.1.,SD_lnkufrac.1.,M_lnVdist.1.,SD_lnVdist.1.,M_lnVdistmet.1.,SD_lnVdistmet.1.,M_lnkgutabs.1.,SD_lnkgutabs.1.,M_lnFgluc.1.,SD_lnFgluc.1.,geomM_Cltot,geomSD_Cltot,geomM_Clmet,geomSD_Clmet,geomM_kufrac,geomSD_kufrac,geomM_Vdist,geomSD_Vdist,geomM_Vdistmet,geomSD_Vdistmet,geomM_kgutabs,geomSD_kgutabs,geomM_Fgluc,geomSD_Fgluc,Z score,Rand.indiv._Cltot,Rand.indiv._Clmet,Rand.indiv._kufrac,Rand.indiv._Vdist,Rand.indiv._Vdistmet,Rand.indiv._kgutabs,Rand.indiv._Fgluc
33950,0.411308,0.467973,3.2612,0.168208,-1.57713,0.414262,1.88131,0.534517,1.83649,0.421919,4.53572,0.0923311,-2.40935,0.733756,1.508789992,1.59675429,26.08081535,1.183182687,0.206567096,1.513253547,6.562095579,1.706623744,6.274476153,1.524885004,93.2906604,1.096727889,0.089873693,2.082889266,1.264001819,2.72597653,32.25958531,0.206133103,12.89630015,15.53733289,338.8269253,0.227209886
32850,0.0300819,0.610423,3.49593,0.128326,-1.54581,0.404721,1.10235,0.738043,2.70802,0.077802,3.11503,0.0295083,-1.97034,0.621575,1.030538932,1.841210066,32.98094597,1.136923579,0.213139159,1.498884253,3.011234116,2.09183778,14.99954699,1.080908618,22.53410637,1.029947984,0.139409449,1.86185816,2.00422152,3.502597419,42.65411408,0.067648867,13.21763157,245.985837,529.915978,0.484534807
41150,0.667208,0.517721,3.8337,0.0824475,-1.5242,0.414599,1.52488,0.497988,1.60329,0.367734,3.22683,0.0934043,-2.91178,0.691443,1.9487887,1.678198673,46.23328531,1.08594166,0.217795223,1.5137636,4.594592185,1.645407378,4.969354737,1.444457762,25.19964734,1.097905529,0.054378849,1.996594541,1.256518563,3.734948564,51.27979496,0.222999312,8.590106777,10.82975726,63.30574576,0.129643224
33350,0.142686,0.545361,2.90486,0.00388968,-1.59946,0.436861,1.60347,0.546386,2.13166,0.118576,4.07911,0.188052,-2.21417,0.632207,1.153367587,1.725231078,18.2626867,1.003897255,0.202005572,1.547840912,4.970249301,1.727000347,8.428847091,1.125892439,59.0928538,1.206896272,0.109244149,1.881759042,0.085292039,1.208283735,18.26874651,1.350452599,5.207356702,1.350384853,1.709101186,0.11529655
28800,0.675866,0.482963,2.65618,0.176595,-1.60172,0.506564,1.53367,0.524292,1.89834,0.657504,3.19659,0.0226595,-2.9586,0.606032,1.965734565,1.620869932,14.24178145,1.19314777,0.201549554,1.659579073,4.63515667,1.689262427,6.674805064,1.929969115,24.44901674,1.022918177,0.051891514,1.833143037,1.28213158,3.651317693,17.8606153,0.212874648,9.078248978,22.00843223,61.62751769,0.11286225
47300,0.384904,0.626882,3.05322,0.150836,-1.61769,0.41819,1.1878,0.463335,1.94574,0.184138,4.13712,0.0333877,-2.49279,0.553582,1.469473245,1.871765307,21.18344542,1.162805942,0.198356373,1.519209297,3.279857578,1.589365691,6.998809058,1.202181713,62.62220953,1.033951324,0.08267897,1.739472663,-2.420154226,0.322308176,14.7047948,76.19145294,1.068715908,0.010836309,4.63597E-05,0.021654461
27500,0.441631,0.474944,3.30719,0.0982272,-1.60203,0.264544,1.51078,0.596002,1.78975,0.231026,3.42058,0.291843,-2.44779,0.756215,1.55524175,1.607924151,27.30828129,1.103213407,0.201487084,1.302836747,4.530263022,1.814848512,5.98795529,1.259891996,30.58715042,1.338892795,0.086484506,2.130198142,-0.774632187,1.076509745,25.30748114,4.506532465,2.855073728,0.314940371,0.0946236,0.048143051
26450,0.174406,0.508573,4.81853,0.0397807,-1.77007,0.388006,1.28724,0.459031,2.60565,0.200443,3.73998,0.145741,-2.76098,0.551891,1.190538826,1.662916519,123.782996,1.040582549,0.170321066,1.474038628,3.622773889,1.582539761,13.54002346,1.221943959,42.09714821,1.156896513,0.063229773,1.7365337,0.241792112,1.346319994,124.979367,0.960805808,4.048028915,2.294393678,2.857761604,0.072256202
37800,0.683033,0.381484,4.30334,0.354989,-1.48091,0.415743,1.44597,0.50785,1.90229,0.0909792,3.9506,0.136361,-2.53496,0.6025,1.979873592,1.464456231,73.94636255,1.426164966,0.227430632,1.515496336,4.245968736,1.661714665,6.701222685,1.095246224,51.96653741,1.146095559,0.07926489,1.826679796,1.456029165,3.450381587,123.991664,0.175431759,8.894333702,17.47495861,360.8815609,0.19057634
46950,0.297076,0.502134,3.44701,0.0117844,-1.46296,0.414932,1.84409,0.646016,1.82147,0.152736,3.56026,0.166716,-2.52433,0.64158,1.345917585,1.652243399,31.4063468,1.01185411,0.231549872,1.514267767,6.322343839,1.907924496,6.180937753,1.165017374,35.17234076,1.181418695,0.08011197,1.899479688,0.038078293,1.371899678,31.42044293,1.432218986,6.479797025,1.248689334,1.352946253,0.08209323
46200,0.294208,0.488528,2.77594,0.420167,-1.51633,0.501831,1.56868,0.52061,1.80738,0.14864,2.78259,0.000722922,-2.29396,0.897679,1.342063024,1.629915218,16.05371039,1.522215744,0.219516034,1.651742845,4.800307604,1.683054,6.094459014,1.160255222,16.16082332,1.000723183,0.10086624,2.453900992,1.671485823,3.036712835,32.40274637,0.130982298,11.46010913,23.7991543,104.7715911,0.452258085
25000,0.816846,0.775173,4.8857,0.186867,-1.46622,0.39452,1.1505,0.67605,2.24334,0.279278,3.10457,0.236765,-2.36449,0.64419,2.263349962,2.170967672,132.3831011,1.205466947,0.230796248,1.483671857,3.159772401,1.966096294,9.424757466,1.322174857,22.29962807,1.267143304,0.093997227,1.904443805,-0.307361652,1.783517515,124.9938143,2.328396426,2.566923641,0.663491863,0.487989805,0.077112545
29600,0.525049,0.519301,4.21635,0.516039,-1.52504,0.487949,1.42321,0.567516,1.89446,0.231965,3.69652,0.101753,-2.75503,0.7921,1.690541683,1.680852323,67.78561471,1.675378316,0.217612352,1.62897177,4.150421934,1.763880127,6.648956998,1.26107559,40.30679237,1.107109982,0.063607111,2.208028421,1.39782205,3.493623286,139.4464551,0.193247111,9.175128312,17.81575114,194.188661,0.192469967
35600,0.691003,0.297302,2.7877,0.080503,-1.43065,0.407566,1.7678,0.597743,1.49606,0.257047,3.82712,0.256001,-2.4598,0.7608,1.995716233,1.346221797,16.24361649,1.083832098,0.239153422,1.50315465,5.857951681,1.818010916,4.464065956,1.293105901,45.93006897,1.29175402,0.08545204,2.139987526,-0.015457573,1.986565827,16.22341581,1.536766258,5.804075506,1.263545355,1.217552888,0.084452999
34700,0.822548,0.510032,3.61222,0.214903,-1.54728,0.379177,1.91473,0.629072,2.19099,0.15078,4.51188,0.151465,-3.15864,0.617303,2.276292448,1.665344485,37.04820861,1.239741636,0.212826074,1.461081624,6.785106571,1.875868965,8.944063356,1.162740827,91.09291231,1.163537577,0.042483479,1.853921268,0.484612419,2.914551187,41.11465645,0.690282667,9.203520773,3.362083811,10.36026774,0.057298129
47700,0.361494,0.447763,4.46807,0.0948665,-1.52336,0.387204,1.35576,0.443747,1.87483,0.36843,3.94072,0.29176,-2.13661,0.564593,1.435472409,1.564807792,87.18828713,1.09951206,0.217978248,1.472856923,3.879708415,1.558536126,6.519710675,1.445463455,51.45563602,1.338781671,0.11805437,1.758731833,0.925427713,2.172473302,95.18878099,0.359674594,5.849848546,8.194388895,51.34725594,0.199065773
28850,0.621853,0.352371,3.00406,0.0264529,-1.47461,0.319477,1.32027,0.669047,1.60977,0.23519,3.83661,0.378439,-2.55531,0.64821,1.862375829,1.42243615,20.16724997,1.026805884,0.228867968,1.376407715,3.744432237,1.95237582,5.001660714,1.265149124,46.36802012,1.460003744,0.077668151,1.912115078,-0.581908456,1.517107157,19.85918924,3.246459532,2.536907688,0.4958168,0.156591183,0.053263239
42400,0.502703,0.378789,3.33894,0.0601766,-1.47165,0.446249,1.84451,0.537947,1.35479,0.498425,3.63422,0.400412,-2.44121,0.734927,1.653183793,1.460514835,28.18923028,1.062024083,0.229546421,1.562440466,6.324999781,1.712487514,3.875946922,1.646126579,37.87230098,1.492439456,0.087055451,2.085329758,0.090611453,1.710910392,28.34335721,1.367385681,6.640944249,1.86113123,2.074487129,0.093050102
28750,0.533581,0.380016,4.45405,0.158843,-1.55651,0.284636,1.25558,0.528746,2.27025,0.388996,2.9712,0.366234,-2.24572,0.707028,1.705027091,1.462307986,85.97443632,1.172153904,0.210870727,1.329278083,3.509873511,1.696803183,9.681820967,1.475498649,19.51532394,1.4422927,0.1058513,2.027955211,0.469977008,2.038429753,92.63829026,0.639615597,4.500004798,4.288604131,5.827742396,0.147572884
35850,0.513486,0.558979,4.25602,0.170553,-1.48111,0.338331,1.54444,0.530436,2.11039,0.150256,2.5971,0.400054,-2.7955,0.771483,1.67110653,1.748885976,70.52871981,1.185960506,0.227385151,1.402604689,4.685347098,1.699673205,8.251458726,1.16213171,13.42474976,1.491905258,0.061084325,2.162971563,9.32616E-05,1.671193649,70.52984165,1.402410959,4.685578884,1.162360462,1.492266656,0.06108872
27350,0.212208,0.390057,3.07526,0.117002,-1.77408,0.388877,1.51753,0.456461,1.69466,0.256975,3.82656,0.111164,-2.28646,0.715153,1.236405031,1.477064984,21.65551161,1.124121678,0.169639446,1.475323075,4.560945735,1.578477855,5.44479442,1.293012801,45.90435533,1.117578175,0.10162558,2.044499467,0.002866001,1.237787985,21.66277453,1.467840811,4.566916349,1.299308107,1.129902025,0.101834089
41500,0.13834,0.494226,5.5425,0.142752,-1.5554,0.434345,1.23076,0.593817,2.01699,0.0267818,4.36568,0.0737441,-2.66263,0.648659,1.148365928,1.639228985,255.315491,1.153443712,0.211104924,1.543951439,3.423830659,1.810887398,7.51566869,1.027143656,78.70289972,1.076531286,0.0697645,1.91297381,-0.925707382,0.726752967,223.7106375,6.515541103,1.97596961,0.158760146,0.01891882,0.038269639
37200,0.122534,0.484058,3.658,0.388216,-1.47876,0.299122,1.43198,0.647851,2.17453,0.235936,2.52534,0.0474909,-2.99049,0.610905,1.130357552,1.622645756,38.78369786,1.474348209,0.227920134,1.348674152,4.186981213,1.911428752,8.798049067,1.266093278,12.49514289,1.048636658,0.050262802,1.842097743,-2.059253546,0.417168879,17.43648457,28.33970356,1.102842051,0.014379199,0.005783048,0.014285671
38050,0.478135,0.672129,2.50093,0.0135144,-1.52242,0.549663,1.45828,0.466324,1.41432,0.775968,3.23796,0.238108,-2.41625,0.636811,1.613063232,1.958402324,12.19382895,1.013606132,0.218183244,1.73266901,4.298559644,1.594123412,4.113688207,2.172694278,25.48168605,1.268846221,0.0892557,1.890442635,0.373221081,2.072981091,12.25548827,0.981634502,5.115739415,3.683347696,4.248572015,0.11320231
46600,0.400055,0.463829,3.52824,0.525362,-1.39546,0.440126,1.73399,0.556918,2.30141,0.0210393,4.32959,0.295292,-2.05883,0.682239,1.49190675,1.590151031,34.06396225,1.691070905,0.247719059,1.552902872,5.663205077,1.745285234,9.988255972,1.021262186,75.91315579,1.343518609,0.127603178,1.978302196,0.226299139,1.657017175,38.36436248,1.132394711,6.423865658,1.719178226,3.578967994,0.148906021
27250,0.10584,0.674033,4.73998,0.118189,-1.7138,0.366849,1.39414,0.522404,2.56307,0.0181951,3.9643,0.78157,-2.1894,0.658473,1.111643999,1.962134674,114.431913,1.125456803,0.180179807,1.443179982,4.031505986,1.686076108,12.9755913,1.018361639,52.68337811,2.184899867,0.111983919,1.931840161,-0.509458232,0.788556153,107.7450341,3.455470121,3.08946205,0.27593719,0.289941741,0.080069162
46950,0.451601,0.590883,5.21232,0.247514,-1.6792,0.60949,1.48608,0.499227,2.40713,0.503494,2.65729,0.0990686,-2.45604,0.562096,1.570825064,1.805582041,183.5193295,1.280837294,0.186523135,1.839493018,4.419736151,1.647447302,11.10205249,1.654491978,14.2575986,1.104142041,0.085773944,1.754345758,0.305040254,1.881076277,197.9118508,1.102153954,5.146744254,3.44790068,2.483450732,0.10181701
30200,0.592369,0.376833,3.1794,0.0748899,-1.45077,0.457102,1.64378,0.462894,1.81093,0.036854,2.85125,0.105982,-2.81884,0.632289,1.80826713,1.45766086,24.03232983,1.077765482,0.234389738,1.579489984,5.174692929,1.588664935,6.116132792,1.037541529,17.30940508,1.111801864,0.059675126,1.881913353,1.115688886,2.753292285,26.12659678,0.313014437,8.673094879,7.82472408,26.76486277,0.120826193
33450,0.293383,0.467877,3.24915,0.150745,-1.57951,0.557489,1.5983,0.432919,1.92208,0.219135,2.97395,0.15662,-2.48,0.650848,1.340956278,1.596601009,25.76842744,1.162700132,0.206076051,1.746282076,4.944619422,1.541751334,6.835160828,1.24499934,19.56906494,1.1695511,0.083743226,1.917165897,-0.829101371,0.90979638,22.74094658,6.469267629,3.45342421,0.252975113,0.099352015,0.048819817
48100,0.551076,0.443134,4.30752,0.180287,-1.51315,0.395369,1.41131,0.546677,2.40023,0.120958,3.12289,0.248011,-2.62986,0.621714,1.735119002,1.557581036,74.25610526,1.197561014,0.220215206,1.48493203,4.101324622,1.727502977,11.025712,1.128577511,22.71192234,1.281474028,0.072088554,1.862116977,0.133534702,1.840891134,76.06548171,1.213260017,4.411921682,1.554994482,1.944539494,0.078328825
32650,0.530338,0.382391,3.37908,0.0522008,-1.76687,0.351135,1.21855,0.450016,2.11667,0.284039,3.18517,0.361333,-2.36021,0.650267,1.699506645,1.465785095,29.34376243,1.053587282,0.170866966,1.420679105,3.38227987,1.568337279,8.30344094,1.328484741,24.17139719,1.435241317,0.094400397,1.916052347,-0.659400875,1.320735846,28.35089918,4.554932097,2.513833945,0.329000816,0.175701125,0.061482873
34550,0.260149,0.395889,5.57703,0.151388,-1.55352,0.510822,1.11804,0.51165,2.47389,0.0217415,3.11025,0.083224,-2.49239,0.747063,1.297123344,1.485704395,264.285511,1.163447988,0.211502174,1.666660627,3.058852972,1.668041194,11.86852574,1.021979569,22.42665036,1.086785221,0.082712048,2.110791509,0.743148757,1.740815041,295.7557084,0.525358466,4.473951673,6.425084469,10.96383819,0.144105291
27100,0.337655,0.451103,3.26965,0.395213,-1.51198,0.408775,1.49259,0.480282,1.58438,0.450643,2.88794,0.364195,-2.55575,0.656522,1.401656848,1.570042988,26.30213199,1.484700398,0.220473009,1.504973063,4.448602491,1.616530199,4.876267155,1.569320935,17.95628154,1.439354861,0.077633985,1.928074815,-2.549456358,0.443786179,9.602963075,71.05839641,1.307519723,0.027635208,0.000913267,0.014559316
45250,0.368657,0.6305,3.98087,0.172118,-1.58792,0.422122,1.35738,0.460098,2.1255,0.0451869,3.544,0.0128063,-2.62681,0.67783,1.445791612,1.878549619,53.56361431,1.187817987,0.204350218,1.525194587,3.885998636,1.584229232,8.377084984,1.046223381,34.60506297,1.012888652,0.07230876,1.969599062,0.633859226,2.156109073,59.73801485,0.557442599,5.201865766,4.024717354,9.575458302,0.111118153
45000,0.535226,0.315411,2.74233,0.0901274,-1.51892,0.37469,1.29505,0.439397,1.96695,0.314328,3.23179,0.105705,-2.60252,0.517838,1.707834169,1.370822603,15.52311184,1.09431369,0.218948223,1.454540437,3.651178529,1.551771218,7.148839244,1.369338806,25.32494808,1.111493937,0.074086644,1.678395034,0.142781503,1.786504392,15.72416224,1.170951094,3.88758353,1.813342954,1.763225556,0.079772032
31950,0.339058,0.395315,3.14446,0.169205,-1.59503,0.376661,1.50288,0.461046,1.57225,0.303818,4.02622,0.28266,-2.74892,0.730007,1.403624753,1.484851846,23.20714023,1.184362908,0.202902441,1.457410164,4.494614939,1.585731793,4.817475328,1.35502242,56.04864644,1.326654023,0.063996941,2.075095133,-1.149329786,0.891108305,19.10571784,9.114590573,2.645833396,0.22241378,0.012974173,0.027655275
27150,0.255198,0.726145,4.96975,0.0131408,-1.71928,0.388151,1.57573,0.597691,2.14091,0.352406,4.08079,0.421501,-2.17885,0.616992,1.290717158,2.067096571,143.9908851,1.01322752,0.179195122,1.47425238,4.834269347,1.817916382,8.507175637,1.422485936,59.19221323,1.524247735,0.113171603,1.853344788,0.374242591,1.693762501,144.7007544,0.77470203,6.046087861,3.16966437,7.019601306,0.1425667
49700,0.182058,0.480399,3.68714,0.172758,-1.62713,0.362087,1.31253,0.42492,2.56944,0.123484,3.26313,0.247528,-2.21733,0.620743,1.199683774,1.616719345,39.93048231,1.188578434,0.1964927,1.436323897,3.715562203,1.529468057,13.05850963,1.131431901,26.13119993,1.280855226,0.108899483,1.860309739,-1.866298906,0.489431812,28.92545298,29.92810302,1.68119066,0.009354862,0.002901731,0.034190003
49100,0.340922,0.480175,3.16678,0.225262,-1.5467,0.384107,1.45985,0.533185,2.58488,0.300142,4.19267,0.000714644,-2.58575,0.668053,1.40624355,1.61635724,23.73094755,1.252650868,0.212949549,1.468302542,4.305313683,1.704352034,13.26169759,1.350050501,66.19930736,1.000714899,0.075339554,1.950436122,0.915375492,2.18248127,29.1652903,0.356399041,7.014044398,14.38632066,46.45954839,0.138868108
39000,0.407573,0.450545,2.47438,0.125683,-1.5037,0.325473,1.19573,0.570976,1.76255,0.589493,3.91457,0.574739,-2.58543,0.676026,1.503165173,1.569167149,11.87434274,1.133922658,0.222306104,1.384685447,3.305970248,1.769993723,5.827278024,1.803074025,50.12751205,1.776666756,0.075363666,1.966049108,0.057632483,1.542707558,11.96066589,1.269738578,3.416568773,1.995856204,2.22630974,0.078357864
25750,0.685352,0.448781,4.21532,0.16819,-1.73848,0.322272,1.27634,0.505749,2.15977,0.308278,3.01022,0.0168116,-2.46473,0.522974,1.984470246,1.566401578,67.71583147,1.18316139,0.175787394,1.380260156,3.583500084,1.658227068,8.669143526,1.361079316,20.29186364,1.01695371,0.085031798,1.687037446,-1.24692058,1.134007405,54.90478085,12.06149914,1.90734298,0.092108904,0.023832772,0.044297057
44950,0.337771,0.442666,3.94453,0.102099,-1.50404,0.396641,1.43149,0.451334,1.71183,0.354333,4.19705,0.207193,-2.62099,0.59003,1.40181945,1.556852259,51.65205594,1.107493108,0.222230533,1.486822065,4.184930095,1.57040571,5.539088741,1.425229709,66.48989625,1.230219981,0.072730824,1.804042536,1.134439388,2.316248258,57.99490299,0.269927677,6.983156722,9.937349928,143.8098348,0.142041398
34850,0.913533,0.507063,2.81422,0.0615452,-1.49425,0.319142,1.87174,0.67178,2.13823,0.23965,3.52536,0.249404,-2.7972,0.774012,2.493115168,1.66040741,16.68016018,1.063478565,0.224416854,1.375946695,6.499595863,1.957718961,8.48440693,1.270804291,33.96599918,1.283260366,0.060980569,2.168448641,0.114917381,2.642705893,16.79855067,1.158848343,7.021235487,1.624775725,1.924236252,0.066653177
45650,0.339247,0.637541,3.56351,0.103492,-1.47032,0.615663,1.36938,0.392138,2.46324,0.166744,3.34855,0.126307,-2.54893,0.665629,1.403890063,1.891823162,35.28683683,1.109036921,0.229851921,1.850883328,3.932911534,1.480141957,11.74279663,1.181451775,28.46143463,1.134630446,0.078165258,1.945713991,0.169631013,1.564230055,35.91178278,1.442317405,4.203421204,1.794247827,2.002356883,0.087508559
32500,0.590823,0.555563,3.91217,0.261917,-1.34385,0.491145,1.77248,0.594184,1.88235,0.430978,2.49534,0.00373062,-2.87024,0.46346,1.805473709,1.742921974,50.00735027,1.299418686,0.260839501,1.634186292,5.885431147,1.811552115,6.568923709,1.538761697,12.12585561,1.003737587,0.05668532,1.589564374,1.05463141,3.243773103,65.91696837,0.39608699,11.01353653,11.2027965,13.94881506,0.092415504
31150,0.313605,0.328202,3.29907,0.346968,-1.43983,0.448484,1.40378,0.508949,2.16662,0.240144,2.88483,0.175302,-3.10503,0.661565,1.368349132,1.388469415,27.08743589,1.414771452,0.23696804,1.565936425,4.07055763,1.663541893,8.728731013,1.271432223,17.90052425,1.191606027,0.044823174,1.937822655,-0.389605583,1.204103936,23.66244826,2.74409082,3.338396587,0.546629931,0.387265849,0.034638849
29550,0.19508,0.393597,3.49761,0.147764,-1.7142,0.325354,1.48706,0.367546,2.90117,0.20656,2.96559,0.387905,-2.71743,0.500501,1.215408215,1.48230306,33.03640053,1.159239284,0.180107749,1.38452068,4.424069616,1.44418623,18.19542156,1.229441498,19.40614949,1.473889758,0.06604427,1.649547487,-0.661108247,0.936945444,29.96176297,4.300046156,3.469714481,0.180607807,0.207490234,0.047438775
44150,0.130616,0.511237,3.97705,0.189482,-1.50636,0.375818,1.16434,0.576729,2.25875,0.335225,3.4467,0.284589,-2.8067,0.697953,1.139530118,1.667352435,53.35939161,1.208623369,0.221715556,1.456182085,3.203807672,1.780205843,9.571117789,1.398254957,31.39661235,1.329215608,0.060403997,2.009634772,-0.507248276,0.879230587,48.46954111,3.12650733,2.391199706,0.444625892,0.231368493,0.04239455
49250,0.106251,0.522982,2.88115,0.307306,-1.49995,0.466137,1.32136,0.554342,2.11418,0.416544,2.70724,0.167496,-2.56709,0.604873,1.112100979,1.687050942,17.83477138,1.35975699,0.223141317,1.593825338,3.748515894,1.740795165,8.282791092,1.516710735,14.98785191,1.182340561,0.076758588,1.831019655,1.290101231,2.183547225,26.51222239,0.230166955,7.663871673,23.19763235,38.86560447,0.167504913
40550,0.423896,0.443104,5.16128,0.00516098,-1.52619,0.413192,1.40335,0.494834,2.39896,0.159084,2.28305,0.145947,-2.24617,0.741857,1.527902684,1.557534309,174.3875288,1.005174321,0.217362242,1.511635232,4.068807667,1.640225939,11.01171824,1.172436427,9.806544805,1.157134858,0.105803678,2.099831283,-1.296110694,0.86035014,173.2249084,10.92772547,2.1425364,0.052327475,0.060016334,0.040449589
39600,0.301518,0.553574,4.18259,0.0571787,-1.86018,0.497875,1.39527,0.691413,1.96834,0.36554,3.21842,0.00269544,-2.50585,0.793129,1.351909449,1.739458747,65.5353702,1.058845009,0.155644612,1.645221458,4.036064163,1.996534645,7.15878304,1.441292096,24.98860698,1.002699076,0.081606203,2.210301651,2.030611862,4.160402944,73.60388035,0.037649765,16.43250589,78.45102565,690.9429576,0.408479788
35350,0.613117,0.481755,5.82975,0.174926,-1.463,0.356616,1.30426,0.542106,1.94915,0.176368,3.06073,0.204001,-3.06148,0.833722,1.846176973,1.618913103,340.2736,1.191158068,0.23154061,1.428487225,3.684961213,1.719624581,7.022715735,1.192876957,21.34313196,1.22629938,0.046818353,2.301870377,-0.051176108,1.801217192,337.2410539,1.53954458,3.584134868,1.079629676,1.048504383,0.044862786
29200,0.893061,0.638845,2.36451,0.00597675,-1.61345,0.412297,1.455,0.516562,1.74259,0.356121,2.68684,0.134772,-2.22157,0.691358,2.442595003,1.894291708,10.63882452,1.005994646,0.19919919,1.510282924,4.284483466,1.676254768,5.712118668,1.427780299,14.6851973,1.14427586,0.108438726,1.996424838,0.66327025,3.73141636,10.68108265,0.517960453,6.035267671,4.535471759,6.799662902,0.171527306
26100,0.532835,0.42248,2.9524,0.146182,-1.63777,0.328173,1.40716,0.326992,1.92119,0.263467,2.5824,0.156377,-2.35846,0.554203,1.703755616,1.525740704,19.15186309,1.157406817,0.1944131,1.38842915,4.084339393,1.386790383,6.829080241,1.301434347,13.22884933,1.169266934,0.094565742,1.740553211,-0.769439371,1.230920489,17.11442737,4.895604291,3.175799721,0.296777605,0.160313624,0.061736151
27300,0.540022,0.525607,2.57753,0.115652,-1.63335,0.404342,1.33788,0.466081,1.85725,0.480743,2.78038,0.337957,-2.43674,0.750076,1.716044615,1.691485268,13.16458145,1.122605138,0.195274308,1.498316284,3.810955709,1.593736087,6.406095763,1.617275592,16.12514734,1.402080213,0.087445459,2.117160915,0.955374099,2.835372478,14.70254966,0.31470541,5.948634608,9.53635699,19.97057695,0.17904165
