Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt_out	0.25	1.87	0.507691
1_1	1	Ccpt_out	0.5	1.76	0.476907
1_1	1	Ccpt_out	1	0.99	0.418016
1_1	1	Ccpt_out	2	0.7	0.32114
1_1	1	Ccpt_out	4	0.08	0.189543

1_1	1	Ctot_out	0.25	2.6	0.681121
1_1	1	Ctot_out	0.5	3.126	0.639821
1_1	1	Ctot_out	1	1.148	0.560812
1_1	1	Ctot_out	2	1.294	0.430843
1_1	1	Ctot_out	4	0.08	0.254292

1_1	1	Qu_out	2.05	5069	6682.97
1_1	1	Qu_out	4.3	10300.6	10972.1
1_1	1	Qu_out	5.88	15184.7	12776.7
1_1	1	Qu_out	9.3	16167	14851.5
1_1	1	Qu_out	14.55	16545	15914

1_1	1	Qu_tot_out	2.05	8662.13	8647.06
1_1	1	Qu_tot_out	4.3	13893.7	14353.5
1_1	1	Qu_tot_out	5.88	18892.8	16754.4
1_1	1	Qu_tot_out	9.3	19889.7	19514.9
1_1	1	Qu_tot_out	14.55	20321.6	20928.4

1_1	1	Ccpt	0		0
1_1	1	Ccpt	0.1		0.475633
1_1	1	Ccpt	0.2		0.510742
1_1	1	Ccpt	0.3		0.502192
1_1	1	Ccpt	0.4		0.489599
1_1	1	Ccpt	0.5		0.476907
1_1	1	Ccpt	0.6		0.464504
1_1	1	Ccpt	0.7		0.452419
1_1	1	Ccpt	0.8		0.440647
1_1	1	Ccpt	0.9		0.429182
1_1	1	Ccpt	1		0.418016
1_1	1	Ccpt	1.1		0.40714
1_1	1	Ccpt	1.2		0.396546
1_1	1	Ccpt	1.3		0.386228
1_1	1	Ccpt	1.4		0.376179
1_1	1	Ccpt	1.5		0.366391
1_1	1	Ccpt	1.6		0.356857
1_1	1	Ccpt	1.7		0.347572
1_1	1	Ccpt	1.8		0.338528
1_1	1	Ccpt	1.9		0.32972
1_1	1	Ccpt	2		0.32114
1_1	1	Ccpt	2.1		0.312785
1_1	1	Ccpt	2.2		0.304646
1_1	1	Ccpt	2.3		0.29672
1_1	1	Ccpt	2.4		0.289
1_1	1	Ccpt	2.5		0.28148
1_1	1	Ccpt	2.6		0.274157
1_1	1	Ccpt	2.7		0.267023
1_1	1	Ccpt	2.8		0.260076
1_1	1	Ccpt	2.9		0.253309
1_1	1	Ccpt	3		0.246718
1_1	1	Ccpt	3.1		0.240299
1_1	1	Ccpt	3.2		0.234047
1_1	1	Ccpt	3.3		0.227957
1_1	1	Ccpt	3.4		0.222026
1_1	1	Ccpt	3.5		0.216249
1_1	1	Ccpt	3.6		0.210623
1_1	1	Ccpt	3.7		0.205143
1_1	1	Ccpt	3.8		0.199805
1_1	1	Ccpt	3.9		0.194607
1_1	1	Ccpt	4		0.189543
1_1	1	Ccpt	4.1		0.184612
1_1	1	Ccpt	4.2		0.179808
1_1	1	Ccpt	4.3		0.17513
1_1	1	Ccpt	4.4		0.170573
1_1	1	Ccpt	4.5		0.166135
1_1	1	Ccpt	4.6		0.161813
1_1	1	Ccpt	4.7		0.157603
1_1	1	Ccpt	4.8		0.153502
1_1	1	Ccpt	4.9		0.149508
1_1	1	Ccpt	5		0.145618
1_1	1	Ccpt	5.1		0.141829
1_1	1	Ccpt	5.2		0.138139
1_1	1	Ccpt	5.3		0.134545
1_1	1	Ccpt	5.4		0.131044
1_1	1	Ccpt	5.5		0.127635
1_1	1	Ccpt	5.6		0.124314
1_1	1	Ccpt	5.7		0.12108
1_1	1	Ccpt	5.8		0.117929
1_1	1	Ccpt	5.9		0.114861
1_1	1	Ccpt	6		0.111872
1_1	1	Ccpt	6.1		0.108962
1_1	1	Ccpt	6.2		0.106127
1_1	1	Ccpt	6.3		0.103365
1_1	1	Ccpt	6.4		0.100676
1_1	1	Ccpt	6.5		0.0980565
1_1	1	Ccpt	6.6		0.0955052
1_1	1	Ccpt	6.7		0.0930203
1_1	1	Ccpt	6.8		0.0906001
1_1	1	Ccpt	6.9		0.0882428
1_1	1	Ccpt	7		0.0859468
1_1	1	Ccpt	7.1		0.0837106
1_1	1	Ccpt	7.2		0.0815326
1_1	1	Ccpt	7.3		0.0794113
1_1	1	Ccpt	7.4		0.0773451
1_1	1	Ccpt	7.5		0.0753327
1_1	1	Ccpt	7.6		0.0733726
1_1	1	Ccpt	7.7		0.0714636
1_1	1	Ccpt	7.8		0.0696042
1_1	1	Ccpt	7.9		0.0677932
1_1	1	Ccpt	8		0.0660294
1_1	1	Ccpt	8.1		0.0643114
1_1	1	Ccpt	8.2		0.0626381
1_1	1	Ccpt	8.3		0.0610083
1_1	1	Ccpt	8.4		0.059421
1_1	1	Ccpt	8.5		0.0578749
1_1	1	Ccpt	8.6		0.0563691
1_1	1	Ccpt	8.7		0.0549025
1_1	1	Ccpt	8.8		0.053474
1_1	1	Ccpt	8.9		0.0520827
1_1	1	Ccpt	9		0.0507276
1_1	1	Ccpt	9.1		0.0494077
1_1	1	Ccpt	9.2		0.0481222
1_1	1	Ccpt	9.3		0.0468701
1_1	1	Ccpt	9.4		0.0456507
1_1	1	Ccpt	9.5		0.0444629
1_1	1	Ccpt	9.6		0.043306
1_1	1	Ccpt	9.7		0.0421793
1_1	1	Ccpt	9.8		0.0410818
1_1	1	Ccpt	9.9		0.0400129
1_1	1	Ccpt	10		0.0389719
1_1	1	Ccpt	10.1		0.0379579
1_1	1	Ccpt	10.2		0.0369703
1_1	1	Ccpt	10.3		0.0360084
1_1	1	Ccpt	10.4		0.0350715
1_1	1	Ccpt	10.5		0.034159
1_1	1	Ccpt	10.6		0.0332702
1_1	1	Ccpt	10.7		0.0324045
1_1	1	Ccpt	10.8		0.0315614
1_1	1	Ccpt	10.9		0.0307403
1_1	1	Ccpt	11		0.0299404
1_1	1	Ccpt	11.1		0.0291614
1_1	1	Ccpt	11.2		0.0284027
1_1	1	Ccpt	11.3		0.0276637
1_1	1	Ccpt	11.4		0.0269439
1_1	1	Ccpt	11.5		0.0262429
1_1	1	Ccpt	11.6		0.0255601
1_1	1	Ccpt	11.7		0.0248951
1_1	1	Ccpt	11.8		0.0242473
1_1	1	Ccpt	11.9		0.0236164
1_1	1	Ccpt	12		0.023002
1_1	1	Ccpt	12.1		0.0224035
1_1	1	Ccpt	12.2		0.0218206
1_1	1	Ccpt	12.3		0.0212529
1_1	1	Ccpt	12.4		0.0206999
1_1	1	Ccpt	12.5		0.0201613
1_1	1	Ccpt	12.6		0.0196367
1_1	1	Ccpt	12.7		0.0191258
1_1	1	Ccpt	12.8		0.0186282
1_1	1	Ccpt	12.9		0.0181435
1_1	1	Ccpt	13		0.0176715
1_1	1	Ccpt	13.1		0.0172117
1_1	1	Ccpt	13.2		0.0167639
1_1	1	Ccpt	13.3		0.0163277
1_1	1	Ccpt	13.4		0.0159029
1_1	1	Ccpt	13.5		0.0154891
1_1	1	Ccpt	13.6		0.0150861
1_1	1	Ccpt	13.7		0.0146936
1_1	1	Ccpt	13.8		0.0143113
1_1	1	Ccpt	13.9		0.0139389
1_1	1	Ccpt	14		0.0135762
1_1	1	Ccpt	14.1		0.013223
1_1	1	Ccpt	14.2		0.012879
1_1	1	Ccpt	14.3		0.0125439
1_1	1	Ccpt	14.4		0.0122175
1_1	1	Ccpt	14.5		0.0118996
1_1	1	Ccpt	14.6		0.01159
1_1	1	Ccpt	14.7		0.0112885
1_1	1	Ccpt	14.8		0.0109947
1_1	1	Ccpt	14.9		0.0107087
1_1	1	Ccpt	15		0.0104301
1_1	1	Ccpt	15.1		0.0101587
1_1	1	Ccpt	15.2		0.00989437
1_1	1	Ccpt	15.3		0.00963693
1_1	1	Ccpt	15.4		0.00938619
1_1	1	Ccpt	15.5		0.00914198
1_1	1	Ccpt	15.6		0.00890412
1_1	1	Ccpt	15.7		0.00867244
1_1	1	Ccpt	15.8		0.0084468
