Results of Simulation 1

Time	Ccpt_out	Ctot_out	Qu_out	Qu_tot_out
0	1e-015	1e-015	1e-015	1e-015
0.1	1.17324	2.34648	790.249	804.337
0.2	1.88373	3.76746	2738.32	2836.79
0.3	2.27949	4.55898	5364.31	5655.57
0.4	2.46378	4.92756	8343.52	8950.39
0.5	2.50836	5.01673	11459.5	12504.3
0.6	2.46292	4.92585	14570.6	16166.7
0.7	2.36169	4.72337	17587.1	19833.5
0.8	2.22788	4.45576	20455.3	23435
0.9	2.07742	4.15484	23144.6	26924.1
1	1.92079	3.84157	25641.3	30271
1.1	1.7649	3.52981	27942.1	33457.5
1.2	1.61403	3.22806	30051.1	36474.5
1.3	1.47078	2.94155	31976.2	39318.2
1.4	1.33657	2.67314	33728	41989.2
1.5	1.21206	2.42411	35318.2	44490.6
1.6	1.09735	2.19471	36759.1	46827.9
1.7	0.992258	1.98452	38062.8	49007.3
1.8	0.89635	1.7927	39241	51036.1
1.9	0.809097	1.61819	40304.9	52921.9
2	0.729904	1.45981	41265	54672.6
2.1	0.658158	1.31632	42130.9	56296.1
2.2	0.59325	1.1865	42911.5	57799.9
2.3	0.534593	1.06919	43615.1	59191.7
2.4	0.481629	0.963258	44249	60478.8
2.5	0.433837	0.867675	44820.1	61668
2.6	0.390735	0.781471	45334.4	62766
2.7	0.351878	0.703757	45797.6	63779.2
2.8	0.316859	0.633718	46214.8	64713.5
2.9	0.285307	0.570614	46590.4	65574.5
3	0.256883	0.513766	46928.6	66367.6
3.1	0.231282	0.462564	47233.1	67097.7
3.2	0.208226	0.416452	47507.3	67769.5
3.3	0.187464	0.374928	47754.1	68387.3
3.4	0.168769	0.337537	47976.3	68955.3
3.5	0.151935	0.303871	48176.4	69477.2
3.6	0.13678	0.273559	48356.5	69956.5
3.7	0.123135	0.246269	48518.6	70396.6
3.8	0.11085	0.2217	48664.5	70800.5
3.9	0.0997902	0.19958	48795.9	71171.1
4	0.0898337	0.179667	48914.2	71510.9
4.1	0.0808702	0.16174	49020.7	71822.5
4.2	0.072801	0.145602	49116.6	72108
4.3	0.0655367	0.131073	49202.8	72369.7
4.4	0.0589971	0.117994	49280.5	72609.3
4.5	0.05311	0.10622	49350.5	72828.7
4.6	0.0478104	0.0956208	49413.4	73029.6
4.7	0.0430395	0.086079	49470.1	73213.4
4.8	0.0387447	0.0774894	49521.1	73381.5
4.9	0.0348784	0.0697569	49567	73535.3
5	0.031398	0.062796	49608.4	73676
5.1	0.0282648	0.0565296	49645.6	73804.6
5.2	0.0254443	0.0508886	49679.1	73922.1
5.3	0.0229053	0.0458105	49709.2	74029.5
5.4	0.0206195	0.0412391	49736.4	74127.6
5.5	0.0185619	0.0371239	49760.8	74217.3
5.6	0.0167097	0.0334193	49782.8	74299.1
5.7	0.0150422	0.0300844	49802.6	74373.8
5.8	0.0135412	0.0270823	49820.5	74442
5.9	0.0121899	0.0243798	49836.5	74504.3
6	0.0109735	0.021947	49851	74561.1
6.1	0.00987848	0.019757	49864	74612.9
6.2	0.00889272	0.0177854	49875.7	74660.2
6.3	0.00800535	0.0160107	49886.2	74703.3
6.4	0.00720651	0.014413	49895.7	74742.6
6.5	0.00648739	0.0129748	49904.3	74778.4
6.6	0.00584004	0.0116801	49911.9	74811.1
6.7	0.00525727	0.0105145	49918.9	74840.9
6.8	0.00473265	0.0094653	49925.1	74868
6.9	0.00426039	0.00852077	49930.7	74892.8
7	0.00383525	0.00767049	49935.8	74915.3
7.1	0.00345254	0.00690508	49940.3	74935.8
7.2	0.00310802	0.00621604	49944.4	74954.5
7.3	0.00279788	0.00559576	49948.1	74971.5
7.4	0.0025187	0.00503739	49951.4	74987
7.5	0.00226736	0.00453471	49954.4	75001.1
7.6	0.0020411	0.0040822	49957.1	75013.9
7.7	0.00183742	0.00367483	49959.5	75025.6
7.8	0.00165394	0.00330788	49961.7	75036.3
7.9	0.00148881	0.00297762	49963.6	75046
8	0.00134021	0.00268043	49965.4	75054.8
8.1	0.00120649	0.00241298	49967	75062.8
8.2	0.00108609	0.00217219	49968.4	75070.1
8.3	0.000977718	0.00195544	49969.7	75076.7
8.4	0.000880152	0.0017603	49970.9	75082.7
8.5	0.000792322	0.00158464	49971.9	75088.2
8.6	0.000713257	0.00142651	49972.8	75093.2
8.7	0.000642081	0.00128416	49973.7	75097.7
8.8	0.000578008	0.00115602	49974.4	75101.8
8.9	0.000520328	0.00104066	49975.1	75105.6
9	0.000468405	0.00093681	49975.7	75109
9.1	0.000421663	0.000843325	49976.3	75112.1
9.2	0.000379585	0.00075917	49976.8	75114.9
9.3	0.000341706	0.000683412	49977.3	75117.4
9.4	0.000307607	0.000615215	49977.7	75119.8
9.5	0.000276911	0.000553822	49978	75121.9
9.6	0.000249278	0.000498556	49978.4	75123.8
9.7	0.000224403	0.000448805	49978.6	75125.5
9.8	0.00020201	0.000404019	49978.9	75127.1
9.9	0.000181851	0.000363702	49979.2	75128.5
10	0.000163704	0.000327408	49979.4	75129.8
10.1	0.000147368	0.000294736	49979.6	75131
10.2	0.000132662	0.000265325	49979.7	75132.1
10.3	0.000119424	0.000238848	49979.9	75133.1
10.4	0.000107507	0.000215013	49980	75134
10.5	9.67786e-005	0.000193557	49980.2	75134.8
10.6	8.71211e-005	0.000174242	49980.3	75135.5
10.7	7.84273e-005	0.000156855	49980.4	75136.2
10.8	7.0601e-005	0.000141202	49980.5	75136.8
10.9	6.35558e-005	0.000127112	49980.6	75137.3
11	5.72139e-005	0.000114428	49980.6	75137.8
11.1	5.15045e-005	0.000103009	49980.7	75138.3
11.2	4.63649e-005	9.27299e-005	49980.8	75138.7
11.3	4.17382e-005	8.34764e-005	49980.8	75139
11.4	3.75731e-005	7.51463e-005	49980.9	75139.4
11.5	3.38237e-005	6.76474e-005	49980.9	75139.7
11.6	3.04484e-005	6.08969e-005	49981	75140
11.7	2.741e-005	5.482e-005	49981	75140.2
11.8	2.46748e-005	4.93495e-005	49981	75140.4
11.9	2.22125e-005	4.44249e-005	49981	75140.6
12	1.99959e-005	3.99918e-005	49981.1	75140.8
12.1	1.80005e-005	3.6001e-005	49981.1	75141
12.2	1.62042e-005	3.24084e-005	49981.1	75141.1
12.3	1.45872e-005	2.91744e-005	49981.1	75141.3
12.4	1.31315e-005	2.62631e-005	49981.2	75141.4
12.5	1.18212e-005	2.36423e-005	49981.2	75141.5
12.6	1.06416e-005	2.12831e-005	49981.2	75141.6
12.7	9.57965e-006	1.91593e-005	49981.2	75141.7
12.8	8.62376e-006	1.72475e-005	49981.2	75141.8
12.9	7.7632e-006	1.55264e-005	49981.2	75141.9
13	6.98851e-006	1.3977e-005	49981.2	75142
13.1	6.29113e-006	1.25823e-005	49981.2	75142
13.2	5.66334e-006	1.13267e-005	49981.2	75142.1
13.3	5.09822e-006	1.01964e-005	49981.3	75142.1
13.4	4.58947e-006	9.17894e-006	49981.3	75142.2
13.5	4.13149e-006	8.26298e-006	49981.3	75142.2
